file,name,documentId,documentMicroversion,documentVersion,elementId,partId,configuration,fullConfiguration,sha256
reference/pollen-microduck-rl-develop/microduck/assets/soft_mouth_top.part,soft_mouth_top <1>,804927696f06d877f3f1803e,9306fb07735e782de209a230,f0b9dc2ed2b65290c37daecc,cceb83ef371fcd79b077022f,RHCD,default,default,4bfa1f8ace9b9000ff76f2fd34e9cef278e6635b871c3291cb45e2e02e5fac4a
reference/pollen-microduck-rl-develop/microduck/assets/sole_left.part,sole_left <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,451317b8e3aacc7f88e8f8ed,R0BD,default,default,b8ff505c92bfa8e89a9eb6db750dfe139fe8bb6606c532bc01d89f6088f619dc
reference/pollen-microduck-rl-develop/microduck/assets/sole_right.part,sole_right <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,451317b8e3aacc7f88e8f8ed,R8CH,default,default,62a129727a8d780a14099817444e62ad6b536ac2c8239774dab9dabaf50a3f05
reference/pollen-microduck-rl-develop/microduck/assets/speaker.part,speaker <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,f622c3133a65333d713a0880,JHD,default,default,9850f9fcdb8f3138f976ac822a0e2774439623345f131056c7d7ec98d3078592
reference/pollen-microduck-rl-develop/microduck/assets/tire.part,tire <1>,804927696f06d877f3f1803e,f694115e325b201fc7eee9eb,f839e201fb05eeec735c386e,a48e2e3940da29620aa227db,RYHD,default,default,4efa94edfa0848c7eaada2624404f9b202467b6c646d1d8688fb511a4d8f878e
reference/pollen-microduck-rl-develop/microduck/assets/top_head_shell.part,top_head_shell <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,cceb83ef371fcd79b077022f,J/D,default,default,47b4394f5cc1fdc36861fe916be8a11aa3049760d4e563120588cc6cf3ab6cd6
reference/pollen-microduck-rl-develop/microduck/assets/trunk_base.part,trunk_base <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,d6fcdccc8b25aaa256e7e213,RlBD,default,default,3b459735741f8e0a9fab171ecd744c607999322228d045e6623282aa9eed3e9f
reference/pollen-microduck-rl-develop/microduck/assets/upper_leg_left.part,upper_leg_left <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,451317b8e3aacc7f88e8f8ed,R+DD,default,default,61414442f6766fd7aaadd64d29e37c74d4f19de6d7e93153c43559382d24f497
reference/pollen-microduck-rl-develop/microduck/assets/upper_leg_right.part,upper_leg_right <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,451317b8e3aacc7f88e8f8ed,RsED,default,default,33ae62db8087c1c15213fcde56329240d0bd9b70c9919a085ba8705815037383
reference/pollen-microduck-rl-develop/microduck/assets/upper_leg_rigidity_plate.part,upper_leg_rigidity_plate <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,451317b8e3aacc7f88e8f8ed,RxED,default,default,9abdfc1874da369ed5953a32e8481242929da69b96461e6f42242288a5baa2e8
reference/pollen-microduck-rl-develop/microduck/assets/xl330.part,xl330 <11>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,e34e27a4a091c95d26a71da8,JND,default,default,e611f8ad4068acadd8ef0ababd355bb8597becb7eddd1ba206df6bbd539624fd
reference/pollen-microduck-rl-develop/microduck/assets/yaw2roll.part,yaw2roll <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,d6fcdccc8b25aaa256e7e213,JgD,default,default,bc0bd3f0c6551bf5eb35acc14b69fce0bbc0d335bf83026b18609f2c0c570d1b
reference/pollen-microduck-rl-develop/microduck/assets/yaw_roll_motion.part,yaw_roll_motion <1>,804927696f06d877f3f1803e,2f167ea7efece4caa36b89eb,,cceb83ef371fcd79b077022f,RcBD,default,default,4189857fe1b3b8565b2654c3f7294f642ddf20732aad0f25dd93977ab7ffe277
